item_id,brand_id,code,floss_name,rgb,order,color_id,inv_qty,wish_qty
1509876,27219674,809,NULL,"{""b"": 188, ""g"": 152, ""r"": 135}",128,NULL,0,0
1521825,32095163,262,NULL,"{""b"": 184, ""g"": 158, ""r"": 188}",406,NULL,0,0
1811795,27219674,17,NULL,"{""b"": 101, ""g"": 162, ""r"": 168}",294,NULL,0,0
1890971,89495731,801,NULL,"{""b"": 244, ""g"": 246, ""r"": 246}",406,NULL,0,0
2042792,89495731,615,NULL,"{""b"": 105, ""g"": 63, ""r"": 64}",328,NULL,0,0
2197857,27219674,3844,NULL,"{""b"": 65, ""g"": 53, ""r"": 42}",145,NULL,0,0
2346320,89495731,334,NULL,"{""b"": 79, ""g"": 26, ""r"": 6}",210,NULL,0,0
2409142,89495731,2042,NULL,"{""b"": 142, ""g"": 144, ""r"": 102}",183,NULL,0,0
2419258,27219674,162,NULL,"{""b"": 219, ""g"": 212, ""r"": 191}",134,NULL,0,0
2531296,89495731,2050,NULL,"{""b"": 130, ""g"": 175, ""r"": 162}",184,NULL,0,0
2556794,32095163,715,NULL,"{""b"": 85, ""g"": 104, ""r"": 109}",467,NULL,0,0
2564478,32095163,300,NULL,"{""b"": 39, ""g"": 220, ""r"": 242}",158,NULL,0,0
2570095,27219674,502,NULL,"{""b"": 87, ""g"": 122, ""r"": 95}",216,NULL,0,0
2722542,89495731,251,NULL,"{""b"": 170, ""g"": 217, ""r"": 195}",142,NULL,0,0
2750046,89495731,2012,NULL,"{""b"": 27, ""g"": 93, ""r"": 78}",171,NULL,0,0
2957013,27219674,500,NULL,"{""b"": 25, ""g"": 51, ""r"": 39}",218,NULL,0,0
2965948,27219674,646,NULL,"{""b"": 85, ""g"": 94, ""r"": 91}",464,NULL,0,0
3114984,89495731,769,NULL,"{""b"": 35, ""g"": 45, ""r"": 115}",390,NULL,0,0
3182000,32095163,566,NULL,"{""b"": 112, ""g"": 124, ""r"": 18}",303,NULL,0,0
3295791,27219674,469,NULL,"{""b"": 28, ""g"": 67, ""r"": 53}",261,NULL,0,0
3336799,89495731,356,NULL,"{""b"": 64, ""g"": 28, ""r"": 10}",221,NULL,0,0
3475826,32095163,246,NULL,"{""b"": 52, ""g"": 24, ""r"": 70}",24,NULL,0,0
3515904,27219674,368,NULL,"{""b"": 113, ""g"": 147, ""r"": 119}",229,NULL,0,0
3623934,27219674,913,NULL,"{""b"": 128, ""g"": 158, ""r"": 114}",222,NULL,0,0
3625796,27219674,3815,NULL,"{""b"": 68, ""g"": 105, ""r"": 74}",212,NULL,0,0
3700316,27219674,793,NULL,"{""b"": 141, ""g"": 114, ""r"": 105}",119,NULL,0,0
3735858,89495731,612,NULL,"{""b"": 191, ""g"": 151, ""r"": 156}",325,NULL,0,0
3738940,89495731,766,NULL,"{""b"": 78, ""g"": 100, ""r"": 165}",387,NULL,0,0
3769182,32095163,412,NULL,"{""b"": 223, ""g"": 191, ""r"": 102}",343,NULL,0,0
3797469,32095163,2317,NULL,"{""b"": 140, ""g"": 174, ""r"": 134}",265,NULL,0,0
3938918,32095163,271,NULL,"{""b"": 61, ""g"": 170, ""r"": 101}",256,NULL,0,0
3994178,27219674,517,NULL,"{""b"": 122, ""g"": 90, ""r"": 65}",172,NULL,0,0
4078339,89495731,815,NULL,"{""b"": 44, ""g"": 76, ""r"": 82}",412,NULL,0,0
4081524,27219674,915,NULL,"{""b"": 49, ""g"": 37, ""r"": 94}",71,NULL,0,0
4302026,32095163,2003,NULL,"{""b"": 98, ""g"": 31, ""r"": 122}",97,NULL,0,0
4386192,27219674,12,NULL,"{""b"": 92, ""g"": 151, ""r"": 153}",271,NULL,0,0
4414073,27219674,3750,NULL,"{""b"": 66, ""g"": 53, ""r"": 42}",166,NULL,0,0
4459694,32095163,367,NULL,"{""b"": 106, ""g"": 145, ""r"": 160}",459,NULL,0,0
4615375,27219674,3811,NULL,"{""b"": 175, ""g"": 184, ""r"": 155}",179,NULL,0,0
4814603,32095163,308,NULL,"{""b"": 72, ""g"": 104, ""r"": 169}",443,NULL,0,0
4821163,89495731,370A,NULL,"{""b"": 233, ""g"": 211, ""r"": 175}",233,NULL,0,0
5020349,89495731,3050,NULL,"{""b"": 243, ""g"": 193, ""r"": 157}",252,NULL,0,0
5113616,27219674,352,NULL,"{""b"": 103, ""g"": 118, ""r"": 217}",8,NULL,0,0
5289535,32095163,2129,NULL,"{""b"": 48, ""g"": 75, ""r"": 156}",434,NULL,0,0
5504528,89495731,645,NULL,"{""b"": 78, ""g"": 26, ""r"": 16}",344,NULL,0,0
5505325,27219674,336,NULL,"{""b"": 69, ""g"": 48, ""r"": 42}",158,NULL,0,0
5541536,32095163,175,NULL,"{""b"": 148, ""g"": 83, ""r"": 99}",381,NULL,0,0
5566962,89495731,123,NULL,"{""b"": 225, ""g"": 194, ""r"": 253}",14,NULL,0,0
5611611,32095163,346,NULL,"{""b"": 46, ""g"": 27, ""r"": 173}",105,NULL,0,0
5840474,27219674,930,NULL,"{""b"": 79, ""g"": 68, ""r"": 58}",165,NULL,0,0
5981420,27219674,824,NULL,"{""b"": 95, ""g"": 60, ""r"": 43}",139,NULL,0,0
6003781,32095163,682,NULL,"{""b"": 148, ""g"": 212, ""r"": 207}",207,NULL,0,0
6175849,32095163,273,NULL,"{""b"": 59, ""g"": 151, ""r"": 26}",258,NULL,0,0
6203102,32095163,333,NULL,"{""b"": 196, ""g"": 221, ""r"": 187}",280,NULL,0,0
6208040,27219674,703,NULL,"{""b"": 28, ""g"": 95, ""r"": 64}",249,NULL,0,0
6456682,32095163,2172,NULL,"{""b"": 180, ""g"": 155, ""r"": 165}",378,NULL,0,0
6461712,27219674,761,NULL,"{""b"": 170, ""g"": 167, ""r"": 237}",2,NULL,0,0
6657320,32095163,283,NULL,"{""b"": 145, ""g"": 75, ""r"": 116}",415,NULL,0,0
6800744,89495731,3044,NULL,"{""b"": 52, ""g"": 57, ""r"": 30}",251,NULL,0,0
6875722,89495731,1083,NULL,"{""b"": 113, ""g"": 92, ""r"": 231}",83,NULL,0,0
6920081,89495731,813,NULL,"{""b"": 85, ""g"": 116, ""r"": 124}",410,NULL,0,0
7204172,89495731,580,NULL,"{""b"": 93, ""g"": 208, ""r"": 238}",314,NULL,0,0
7220735,89495731,783,NULL,"{""b"": 49, ""g"": 99, ""r"": 171}",392,NULL,0,0
7283155,27219674,926,NULL,"{""b"": 106, ""g"": 114, ""r"": 99}",187,NULL,0,0
7376265,32095163,380,NULL,"{""b"": 159, ""g"": 182, ""r"": 204}",420,NULL,0,0
7441465,89495731,316,NULL,"{""b"": 85, ""g"": 71, ""r"": 46}",204,NULL,0,0
7462715,27219674,519,NULL,"{""b"": 180, ""g"": 158, ""r"": 128}",169,NULL,0,0
7524630,27219674,739,NULL,"{""b"": 182, ""g"": 210, ""r"": 217}",418,NULL,0,0
7590919,32095163,485A,NULL,"{""b"": 115, ""g"": 46, ""r"": 143}",38,NULL,0,0
8012396,89495731,722,NULL,"{""b"": 60, ""g"": 120, ""r"": 152}",363,NULL,0,0
8044112,89495731,525,NULL,"{""b"": 3, ""g"": 118, ""r"": 222}",290,NULL,0,0
8052741,89495731,2215,NULL,"{""b"": 151, ""g"": 139, ""r"": 57}",123,NULL,0,0
8142700,32095163,825,NULL,"{""b"": 30, ""g"": 96, ""r"": 121}",199,NULL,0,0
8225481,32095163,771,NULL,"{""b"": 77, ""g"": 196, ""r"": 222}",189,NULL,0,0
8338269,89495731,602,NULL,"{""b"": 164, ""g"": 88, ""r"": 135}",320,NULL,0,0
8800856,32095163,703,NULL,"{""b"": 31, ""g"": 111, ""r"": 188}",177,NULL,0,0
8829588,27219674,794,NULL,"{""b"": 165, ""g"": 140, ""r"": 125}",118,NULL,0,0
8902359,32095163,299,NULL,"{""b"": 50, ""g"": 230, ""r"": 235}",164,NULL,0,0
8914764,89495731,415,NULL,"{""b"": 43, ""g"": 57, ""r"": 51}",259,NULL,0,0
9015355,27219674,996,NULL,"{""b"": 207, ""g"": 201, ""r"": 188}",140,NULL,0,0
9110093,32095163,562,NULL,"{""b"": 197, ""g"": 200, ""r"": 145}",299,NULL,0,0
9193382,89495731,431,NULL,"{""b"": 78, ""g"": 112, ""r"": 112}",265,NULL,0,0
9204673,32095163,306,NULL,"{""b"": 136, ""g"": 196, ""r"": 226}",440,NULL,0,0
9256837,32095163,474,NULL,"{""b"": 136, ""g"": 143, ""r"": 152}",488,NULL,0,0
9266777,32095163,351,NULL,"{""b"": 209, ""g"": 216, ""r"": 255}",1,NULL,0,0
9304161,32095163,683,NULL,"{""b"": 111, ""g"": 184, ""r"": 188}",208,NULL,0,0
9327341,27219674,780,NULL,"{""b"": 28, ""g"": 68, ""r"": 117}",327,NULL,0,0
9383450,27219674,3855,NULL,"{""b"": 81, ""g"": 146, ""r"": 185}",329,NULL,0,0
9526698,32095163,2023,NULL,"{""b"": 190, ""g"": 152, ""r"": 18}",350,NULL,0,0
9541416,89495731,1034,NULL,"{""b"": 94, ""g"": 61, ""r"": 172}",70,NULL,0,0
9708809,89495731,1902,NULL,"{""b"": 148, ""g"": 121, ""r"": 207}",104,NULL,0,0
9870600,27219674,3746,NULL,"{""b"": 138, ""g"": 92, ""r"": 93}",112,NULL,0,0
9901666,89495731,3051,NULL,"{""b"": 199, ""g"": 129, ""r"": 99}",253,NULL,0,0
10034592,27219674,3818,NULL,"{""b"": 47, ""g"": 63, ""r"": 32}",227,NULL,0,0
10043349,32095163,2037,NULL,"{""b"": 90, ""g"": 115, ""r"": 135}",452,NULL,0,0
10161523,89495731,1900,NULL,"{""b"": 211, ""g"": 196, ""r"": 248}",103,NULL,0,0
10213138,32095163,921,NULL,"{""b"": 139, ""g"": 193, ""r"": 176}",213,NULL,0,0
10243050,32095163,2115,NULL,"{""b"": 74, ""g"": 28, ""r"": 201}",12,NULL,0,0
10250661,89495731,676,NULL,"{""b"": 84, ""g"": 16, ""r"": 51}",355,NULL,0,0
10265217,27219674,3046,NULL,"{""b"": 133, ""g"": 189, ""r"": 195}",313,NULL,0,0
10329382,89495731,1053,NULL,"{""b"": 4, ""g"": 20, ""r"": 204}",80,NULL,0,0
10363420,27219674,14,NULL,"{""b"": 125, ""g"": 153, ""r"": 152}",245,NULL,0,0
10484188,89495731,845,NULL,"{""b"": 3, ""g"": 43, ""r"": 57}",418,NULL,0,0
10516826,32095163,119,NULL,"{""b"": 49, ""g"": 98, ""r"": 52}",236,NULL,0,0
10649671,89495731,555,NULL,"{""b"": 32, ""g"": 151, ""r"": 232}",306,NULL,0,0
10671497,89495731,767,NULL,"{""b"": 61, ""g"": 80, ""r"": 148}",388,NULL,0,0
10742755,89495731,119,NULL,"{""b"": 141, ""g"": 119, ""r"": 225}",11,NULL,0,0
10770647,89495731,734,NULL,"{""b"": 74, ""g"": 143, ""r"": 170}",367,NULL,0,0
10790256,27219674,535,NULL,"{""b"": 66, ""g"": 65, ""r"": 67}",476,NULL,0,0
10809491,27219674,3341,NULL,"{""b"": 65, ""g"": 86, ""r"": 180}",359,NULL,0,0
10857950,32095163,635A,NULL,"{""b"": 38, ""g"": 91, ""r"": 78}",228,NULL,0,0
11011528,27219674,967,NULL,"{""b"": 133, ""g"": 143, ""r"": 198}",357,NULL,0,0
11023053,32095163,502,NULL,"{""b"": 138, ""g"": 91, ""r"": 214}",28,NULL,0,0
11064202,27219674,3830,NULL,"{""b"": 23, ""g"": 31, ""r"": 121}",394,NULL,0,0
11086192,27219674,3820,NULL,"{""b"": 41, ""g"": 138, ""r"": 167}",322,NULL,0,0
11108719,27219674,823,NULL,"{""b"": 48, ""g"": 34, ""r"": 34}",159,NULL,0,0
11171135,89495731,2023,NULL,"{""b"": 8, ""g"": 82, ""r"": 38}",179,NULL,0,0
11177237,89495731,791,NULL,"{""b"": 152, ""g"": 173, ""r"": 215}",396,NULL,0,0
11304511,27219674,3689,NULL,"{""b"": 193, ""g"": 184, ""r"": 234}",52,NULL,0,0
11353883,27219674,225,NULL,"{""b"": 179, ""g"": 178, ""r"": 198}",381,NULL,0,0
11380470,89495731,1906,NULL,"{""b"": 47, ""g"": 28, ""r"": 107}",106,NULL,0,0
11460452,32095163,406,NULL,"{""b"": 47, ""g"": 45, ""r"": 164}",135,NULL,0,0
11527537,27219674,945,NULL,"{""b"": 135, ""g"": 155, ""r"": 185}",375,NULL,0,0
11690477,32095163,2013,NULL,"{""b"": 50, ""g"": 98, ""r"": 70}",244,NULL,0,0
11870241,27219674,3801,NULL,"{""b"": 49, ""g"": 43, ""r"": 202}",18,NULL,0,0
12003117,32095163,146,NULL,"{""b"": 29, ""g"": 111, ""r"": 222}",154,NULL,0,0
12066382,32095163,2034,NULL,"{""b"": 184, ""g"": 177, ""r"": 198}",403,NULL,0,0
12226406,27219674,435,NULL,"{""b"": 63, ""g"": 126, ""r"": 180}",422,NULL,0,0
12233479,89495731,624,NULL,"{""b"": 155, ""g"": 73, ""r"": 86}",333,NULL,0,0
12317723,32095163,735,NULL,"{""b"": 86, ""g"": 70, ""r"": 28}",331,NULL,0,0
12385411,89495731,739,NULL,"{""b"": 4, ""g"": 14, ""r"": 21}",373,NULL,0,0
12393105,32095163,298,NULL,"{""b"": 78, ""g"": 221, ""r"": 242}",163,NULL,0,0
12544381,32095163,922,NULL,"{""b"": 128, ""g"": 183, ""r"": 164}",214,NULL,0,0
12551592,89495731,372A,NULL,"{""b"": 200, ""g"": 81, ""r"": 2}",237,NULL,0,0
12655493,27219674,6,NULL,"{""b"": 123, ""g"": 126, ""r"": 131}",449,NULL,0,0
12747235,89495731,753,NULL,"{""b"": 57, ""g"": 132, ""r"": 238}",382,NULL,0,0
12822897,89495731,203,NULL,"{""b"": 82, ""g"": 118, ""r"": 64}",111,NULL,0,0
12900822,27219674,612,NULL,"{""b"": 104, ""g"": 153, ""r"": 167}",309,NULL,0,0
12995623,32095163,169,NULL,"{""b"": 71, ""g"": 43, ""r"": 8}",340,NULL,0,0
12995750,89495731,243,NULL,"{""b"": 127, ""g"": 176, ""r"": 144}",136,NULL,0,0
13132663,32095163,320,NULL,"{""b"": 49, ""g"": 86, ""r"": 6}",269,NULL,0,0
13148258,27219674,920,NULL,"{""b"": 26, ""g"": 44, ""r"": 126}",371,NULL,0,0
13183168,32095163,536A,NULL,"{""b"": 73, ""g"": 96, ""r"": 28}",276,NULL,0,0
13264048,27219674,733,NULL,"{""b"": 45, ""g"": 126, ""r"": 138}",285,NULL,0,0
13319656,89495731,355,NULL,"{""b"": 96, ""g"": 49, ""r"": 22}",220,NULL,0,0
13339094,89495731,554,NULL,"{""b"": 38, ""g"": 173, ""r"": 239}",305,NULL,0,0
13434071,32095163,425,NULL,"{""b"": 87, ""g"": 119, ""r"": 184}",428,NULL,0,0
13487646,32095163,275,NULL,"{""b"": 64, ""g"": 118, ""r"": 18}",260,NULL,0,0
13570317,27219674,520,NULL,"{""b"": 47, ""g"": 62, ""r"": 44}",283,NULL,0,0
13576671,32095163,501,NULL,"{""b"": 170, ""g"": 138, ""r"": 233}",27,NULL,0,0
13656450,89495731,672,NULL,"{""b"": 220, ""g"": 169, ""r"": 203}",351,NULL,0,0
13778362,32095163,669A,NULL,"{""b"": 59, ""g"": 34, ""r"": 18}",375,NULL,0,0
13804920,32095163,118,NULL,"{""b"": 74, ""g"": 148, ""r"": 112}",234,NULL,0,0
13815069,32095163,312,NULL,"{""b"": 30, ""g"": 32, ""r"": 42}",450,NULL,0,0
13866216,32095163,232,NULL,"{""b"": 168, ""g"": 165, ""r"": 221}",63,NULL,0,0
13885992,89495731,713,NULL,"{""b"": 10, ""g"": 42, ""r"": 95}",360,NULL,0,0
13939657,89495731,900,NULL,"{""b"": 0, ""g"": 0, ""r"": 0}",420,NULL,0,0
13943088,27219674,13,NULL,"{""b"": 164, ""g"": 201, ""r"": 169}",220,NULL,0,0
13959188,32095163,371,NULL,"{""b"": 194, ""g"": 196, ""r"": 126}",310,NULL,0,0
14013338,89495731,843,NULL,"{""b"": 35, ""g"": 84, ""r"": 102}",416,NULL,0,0
14093492,89495731,255,NULL,"{""b"": 60, ""g"": 100, ""r"": 45}",146,NULL,0,0
14144456,32095163,2500,NULL,"{""b"": 245, ""g"": 245, ""r"": 245}",497,NULL,0,0
14275478,27219674,355,NULL,"{""b"": 18, ""g"": 25, ""r"": 101}",395,NULL,0,0
14302941,27219674,3825,NULL,"{""b"": 80, ""g"": 118, ""r"": 186}",368,NULL,0,0
14318791,27219674,3850,NULL,"{""b"": 79, ""g"": 109, ""r"": 59}",199,NULL,0,0
14324332,27219674,602,NULL,"{""b"": 104, ""g"": 84, ""r"": 188}",60,NULL,0,0
14359165,89495731,742,NULL,"{""b"": 105, ""g"": 136, ""r"": 159}",376,NULL,0,0
14419092,32095163,187,NULL,"{""b"": 49, ""g"": 51, ""r"": 176}",127,NULL,0,0
14495852,32095163,893,NULL,"{""b"": 99, ""g"": 107, ""r"": 96}",476,NULL,0,0
14512106,32095163,151,NULL,"{""b"": 211, ""g"": 220, ""r"": 224}",472,NULL,0,0
14584644,89495731,2040,NULL,"{""b"": 197, ""g"": 200, ""r"": 168}",181,NULL,0,0
14691084,89495731,534,NULL,"{""b"": 28, ""g"": 122, ""r"": 244}",294,NULL,0,0
14716255,32095163,776,NULL,"{""b"": 42, ""g"": 79, ""r"": 113}",194,NULL,0,0
14743478,32095163,826,NULL,"{""b"": 27, ""g"": 76, ""r"": 84}",200,NULL,0,0
14758104,32095163,981A,NULL,"{""b"": 149, ""g"": 158, ""r"": 132}",305,NULL,0,0
14794232,27219674,312,NULL,"{""b"": 97, ""g"": 67, ""r"": 49}",156,NULL,0,0
14974292,32095163,473,NULL,"{""b"": 163, ""g"": 175, ""r"": 179}",487,NULL,0,0
15075738,32095163,2662,NULL,"{""b"": 174, ""g"": 134, ""r"": 105}",368,NULL,0,0
15449081,32095163,980,NULL,"{""b"": 171, ""g"": 182, ""r"": 166}",304,NULL,0,0
15598382,32095163,261,NULL,"{""b"": 193, ""g"": 173, ""r"": 202}",405,NULL,0,0
15667617,32095163,2022,NULL,"{""b"": 197, ""g"": 173, ""r"": 23}",349,NULL,0,0
15677556,27219674,561,NULL,"{""b"": 52, ""g"": 88, ""r"": 56}",213,NULL,0,0
15683245,27219674,606,NULL,"{""b"": 2, ""g"": 16, ""r"": 157}",362,NULL,0,0
15709367,32095163,129,NULL,"{""b"": 55, ""g"": 86, ""r"": 171}",433,NULL,0,0
15863232,89495731,1904,NULL,"{""b"": 75, ""g"": 51, ""r"": 131}",105,NULL,0,0
15880139,32095163,486,NULL,"{""b"": 107, ""g"": 40, ""r"": 121}",39,NULL,0,0
15900567,27219674,317,NULL,"{""b"": 71, ""g"": 53, ""r"": 45}",479,NULL,0,0
15938113,89495731,391,NULL,"{""b"": 148, ""g"": 114, ""r"": 60}",244,NULL,0,0
15978094,32095163,423,NULL,"{""b"": 160, ""g"": 188, ""r"": 219}",425,NULL,0,0
16320971,32095163,733,NULL,"{""b"": 158, ""g"": 140, ""r"": 103}",329,NULL,0,0
16401571,89495731,735,NULL,"{""b"": 35, ""g"": 85, ""r"": 124}",368,NULL,0,0
16466694,27219674,986,NULL,"{""b"": 51, ""g"": 80, ""r"": 50}",238,NULL,0,0
16496189,89495731,102,NULL,"{""b"": 221, ""g"": 201, ""r"": 255}",3,NULL,0,0
16638952,89495731,196,NULL,"{""b"": 19, ""g"": 11, ""r"": 71}",57,NULL,0,0
16643918,32095163,2114,NULL,"{""b"": 115, ""g"": 55, ""r"": 215}",10,NULL,0,0
16726610,27219674,223,NULL,"{""b"": 64, ""g"": 52, ""r"": 123}",384,NULL,0,0
16787313,89495731,556,NULL,"{""b"": 6, ""g"": 123, ""r"": 231}",307,NULL,0,0
16797034,32095163,702,NULL,"{""b"": 30, ""g"": 178, ""r"": 230}",175,NULL,0,0
16831130,89495731,1033,NULL,"{""b"": 115, ""g"": 85, ""r"": 193}",69,NULL,0,0
16848251,32095163,2017,NULL,"{""b"": 172, ""g"": 162, ""r"": 114}",322,NULL,0,0
16868129,27219674,156,NULL,"{""b"": 171, ""g"": 139, ""r"": 131}",109,NULL,0,0
16956225,27219674,3021,NULL,"{""b"": 41, ""g"": 58, ""r"": 69}",441,NULL,0,0
16978804,89495731,1031,NULL,"{""b"": 168, ""g"": 154, ""r"": 229}",67,NULL,0,0
17061720,27219674,407,NULL,"{""b"": 68, ""g"": 84, ""r"": 131}",407,NULL,0,0
17115038,27219674,600,NULL,"{""b"": 73, ""g"": 59, ""r"": 157}",62,NULL,0,0
17198207,89495731,289,NULL,"{""b"": 6, ""g"": 72, ""r"": 60}",164,NULL,0,0
17198637,32095163,440,NULL,"{""b"": 133, ""g"": 160, ""r"": 240}",136,NULL,0,0
17258260,89495731,782,NULL,"{""b"": 82, ""g"": 136, ""r"": 207}",391,NULL,0,0
17528775,89495731,363,NULL,"{""b"": 206, ""g"": 154, ""r"": 114}",226,NULL,0,0
17559112,89495731,675,NULL,"{""b"": 108, ""g"": 36, ""r"": 72}",354,NULL,0,0
17638997,32095163,216,NULL,"{""b"": 136, ""g"": 72, ""r"": 14}",364,NULL,0,0
17692825,89495731,273,NULL,"{""b"": 72, ""g"": 180, ""r"": 143}",153,NULL,0,0
17694832,27219674,3776,NULL,"{""b"": 34, ""g"": 74, ""r"": 149}",377,NULL,0,0
17696809,32095163,800,NULL,"{""b"": 61, ""g"": 25, ""r"": 191}",107,NULL,0,0
17717891,27219674,839,NULL,"{""b"": 20, ""g"": 34, ""r"": 51}",456,NULL,0,0
17966693,32095163,156,NULL,"{""b"": 48, ""g"": 44, ""r"": 25}",485,NULL,0,0
18025144,32095163,631,NULL,"{""b"": 81, ""g"": 173, ""r"": 156}",223,NULL,0,0
18135907,32095163,205A,NULL,"{""b"": 99, ""g"": 47, ""r"": 214}",16,NULL,0,0
18162962,32095163,2573,NULL,"{""b"": 82, ""g"": 172, ""r"": 213}",183,NULL,0,0
18344502,27219674,3687,NULL,"{""b"": 99, ""g"": 88, ""r"": 161}",54,NULL,0,0
18344767,89495731,452,NULL,"{""b"": 105, ""g"": 115, ""r"": 125}",270,NULL,0,0
18412834,32095163,2032,NULL,"{""b"": 116, ""g"": 79, ""r"": 141}",401,NULL,0,0
18489266,27219674,987,NULL,"{""b"": 63, ""g"": 93, ""r"": 68}",237,NULL,0,0
18512164,89495731,1014,NULL,"{""b"": 110, ""g"": 81, ""r"": 207}",61,NULL,0,0
18552488,89495731,485,NULL,"{""b"": 110, ""g"": 105, ""r"": 104}",274,NULL,0,0
18592392,89495731,227,NULL,"{""b"": 123, ""g"": 235, ""r"": 205}",126,NULL,0,0
18600039,27219674,316,NULL,"{""b"": 126, ""g"": 114, ""r"": 163}",77,NULL,0,0
18631589,27219674,3047,NULL,"{""b"": 188, ""g"": 201, ""r"": 196}",312,NULL,0,0
18644046,27219674,842,NULL,"{""b"": 130, ""g"": 163, ""r"": 180}",453,NULL,0,0
18674993,32095163,176,NULL,"{""b"": 137, ""g"": 69, ""r"": 86}",382,NULL,0,0
18730534,27219674,3756,NULL,"{""b"": 226, ""g"": 229, ""r"": 223}",149,NULL,0,0
18744669,32095163,2008,NULL,"{""b"": 47, ""g"": 221, ""r"": 237}",171,NULL,0,0
18794523,89495731,712,NULL,"{""b"": 19, ""g"": 83, ""r"": 145}",359,NULL,0,0
18854584,32095163,851,NULL,"{""b"": 165, ""g"": 181, ""r"": 234}",108,NULL,0,0
18900860,27219674,580,NULL,"{""b"": 42, ""g"": 101, ""r"": 95}",276,NULL,0,0
18971543,32095163,557,NULL,"{""b"": 72, ""g"": 39, ""r"": 24}",389,NULL,0,0
19117196,32095163,578,NULL,"{""b"": 40, ""g"": 74, ""r"": 120}",188,NULL,0,0
19120557,32095163,171A,NULL,"{""b"": 226, ""g"": 220, ""r"": 221}",376,NULL,0,0
19141784,89495731,640,NULL,"{""b"": 195, ""g"": 149, ""r"": 125}",339,NULL,0,0
19387321,27219674,350,NULL,"{""b"": 53, ""g"": 66, ""r"": 194}",10,NULL,0,0
19501344,89495731,1120,NULL,"{""b"": 108, ""g"": 75, ""r"": 209}",88,NULL,0,0
19510393,89495731,361,NULL,"{""b"": 238, ""g"": 224, ""r"": 206}",224,NULL,0,0
19532857,27219674,3042,NULL,"{""b"": 145, ""g"": 140, ""r"": 155}",101,NULL,0,0
19542368,32095163,369,NULL,"{""b"": 61, ""g"": 80, ""r"": 93}",461,NULL,0,0
19557353,89495731,264,NULL,"{""b"": 52, ""g"": 106, ""r"": 39}",151,NULL,0,0
19622003,27219674,150,NULL,"{""b"": 54, ""g"": 49, ""r"": 127}",50,NULL,0,0
19680929,32095163,2001,NULL,"{""b"": 107, ""g"": 29, ""r"": 207}",95,NULL,0,0
19686349,27219674,505,NULL,"{""b"": 50, ""g"": 93, ""r"": 59}",208,NULL,0,0
19708707,89495731,1021,NULL,"{""b"": 218, ""g"": 239, ""r"": 255}",62,NULL,0,0
19734177,27219674,3607,NULL,"{""b"": 107, ""g"": 73, ""r"": 151}",68,NULL,0,0
19800362,89495731,413,NULL,"{""b"": 78, ""g"": 96, ""r"": 89}",257,NULL,0,0
19873069,27219674,893,NULL,"{""b"": 104, ""g"": 97, ""r"": 223}",26,NULL,0,0
19914325,32095163,2242,NULL,"{""b"": 64, ""g"": 29, ""r"": 163}",84,NULL,0,0
20130270,32095163,2221,NULL,"{""b"": 171, ""g"": 165, ""r"": 222}",42,NULL,0,0
